symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
NVDA,2022-07-20,2022-08-26,17.349999999999998,16.7,148,-97.6799999999998,-3.7463976945244837
MSFT,2022-07-27,2022-08-26,269.08,272.36,9,29.430000000000266,1.2189683365541937
AAPL,2022-07-12,2022-08-30,147.57000000000002,159.60999999999999,17,204.5099999999994,8.158839872602798
AAPL,2022-10-28,2022-12-15,152.51000000000002,139.98,16,-200.64000000000047,-8.215854698052604
NVDA,2022-11-04,2022-12-22,14.23,15.5,179,225.53999999999994,8.924806746310598
MSFT,2022-11-23,2022-12-22,248.01000000000002,238.19,10,-98.30000000000021,-3.959517761380593
MSFT,2023-01-26,2023-08-02,245.77,326.98,10,812.0000000000001,33.043089067013874
AAPL,2023-01-18,2023-08-04,137.67000000000002,185.54,18,861.4799999999997,34.77155516815571
NVDA,2023-01-17,2023-08-09,17.34,42.76,148,3760.68,146.59746251441751
MSFT,2023-09-05,2023-09-21,333.0,318.78000000000003,10,-142.2999999999997,-4.2702702702702595
NVDA,2023-10-10,2023-10-20,46.010000000000005,41.16,73,-354.78000000000065,-10.541186698543815
AAPL,2023-11-07,2024-01-02,182.36,187.14999999999998,18,86.03999999999934,2.626672515902584
NVDA,2023-11-09,2024-04-09,47.63,84.28,70,2564.8,76.94730212051229
MSFT,2023-10-16,2024-04-17,333.84999999999997,413.41,10,795.5000000000006,23.831061854126133
NVDA,2024-05-06,2024-07-17,90.75999999999999,118.02000000000001,42,1144.5000000000007,30.035257822829475
MSFT,2024-05-15,2024-07-17,418.9,440.70000000000005,9,196.1100000000006,5.204105991883523
AAPL,2024-05-03,2024-08-05,186.67000000000002,199.07,20,247.79999999999956,6.64273852252637
AAPL,2024-08-21,2024-09-16,227.19,216.5,17,-181.89999999999995,-4.705312733835109
MSFT,2024-09-13,2024-10-31,427.39,408.15000000000003,9,-173.24999999999957,-4.501743138585357
AAPL,2024-09-20,2024-11-01,232.94,220.98,17,-203.49000000000012,-5.134369365501845
NVDA,2024-10-07,2024-11-27,127.69,132.09,31,136.09000000000017,3.4458454068447164
MSFT,2024-12-02,2024-12-31,429.34999999999997,421.29,9,-72.62999999999951,-1.877256317689513
AAPL,2024-11-26,2025-01-07,234.35000000000002,241.73,17,125.28999999999944,3.1491359078301473
NVDA,2025-01-06,2025-01-27,148.61,124.78,27,-643.6800000000003,-16.035260076710856
MSFT,2025-01-22,2025-02-03,443.76,410.70000000000005,8,-264.55999999999955,-7.449972958355855
AAPL,2025-06-30,2025-07-31,206.26000000000002,207.2,20,18.599999999999387,0.4557354794918922
MSFT,2025-04-29,2025-08-21,394.66999999999996,503.67,9,980.9100000000004,27.618009983023818
NVDA,2025-05-02,2025-09-02,115.11,168.78,34,1824.44,46.62496742246547
AAPL,2025-08-07,2025-09-23,218.91,254.43,20,710.2000000000002,16.225846238180086
MSFT,2025-09-19,2025-09-23,517.25,509.23,8,-64.23999999999985,-1.5505074915418082
